"","PHYLLO09","PHYLLO10","PHYLLO11","PHYLLO12","PHYLLO13","PHYLLO14","PHYLLO15","PHYLLO16","PHYLLO21","PHYLLO22","PHYLLO23","PHYLLO24","PHYLLO25","PHYLLO26","PHYLLO27","PHYLLO28","PHYLLO29"
"X3.hydroxyacyl.CoA.dehydrogenase..1.1.1.35.","  0","  0","  0","  0","  1","  0","  4","  4","  0","  0","125","  0"," 58"," 96"," 40","110","  0"
"Phosphogluconate.dehydrogenase..NAD.P.....dependent..decarboxylating...1.1.1.351.","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","2","0"
"Acetoacetyl.CoA.reductase..1.1.1.36."," 0"," 0"," 0"," 0"," 1"," 0"," 0"," 0"," 0"," 0","21"," 0"," 2"," 8"," 0","11"," 0"
"Malate.dehydrogenase..1.1.1.37."," 0"," 0"," 0"," 0"," 2"," 0"," 0"," 3"," 2"," 1","39"," 0","18","22","16","32"," 0"
"Malate.dehydrogenase..oxaloacetate.decarboxylating...1.1.1.38."," 0"," 0"," 0"," 0","37","17","17"," 2","22","10","32"," 9","26","18","24","33"," 0"
"Malate.dehydrogenase..decarboxylating...1.1.1.39.","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","1","0"
"X.R.R..butanediol.dehydrogenase..1.1.1.4.","0","0","0","0","0","4","0","0","0","0","3","0","1","1","0","0","0"
"Malate.dehydrogenase..oxaloacetate.decarboxylating...NADP......1.1.1.40."," 0"," 0"," 0"," 0","29"," 4"," 3","11","14"," 3","99","17","65","77","37","95"," 0"
"Isocitrate.dehydrogenase..NAD......1.1.1.41."," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 4"," 0","12"," 0"
"Isocitrate.dehydrogenase..NADP......1.1.1.42.","  0","  0","  0","  0"," 36","  3"," 15"," 24"," 33"," 12","105","  8"," 85"," 63"," 47"," 62","  5"
"Phosphogluconate.dehydrogenase..NADP....dependent..decarboxylating...1.1.1.44."," 0"," 0"," 0"," 0","10"," 0","16"," 7"," 3","13","27"," 5","21","26","34","33"," 0"
"L.arabinose.1.dehydrogenase..1.1.1.46.","0","0","0","0","1","0","0","2","0","1","1","0","0","5","1","6","2"
"Glucose.1.dehydrogenase..NAD.P.......1.1.1.47."," 0"," 1"," 1"," 0"," 4"," 1"," 4"," 1"," 1"," 3","20"," 2","11","12"," 9","16"," 2"
"D.galactose.1.dehydrogenase..1.1.1.48.","0","0","0","0","0","0","0","1","0","0","0","1","2","0","0","3","0"
"Glucose.6.phosphate.dehydrogenase..NADP......1.1.1.49."," 0"," 0"," 0"," 0","24"," 3"," 4"," 5","15"," 0","57","11","48","62","38","64"," 1"
"Transferred.entry..1.1.1.303.and.1.1.1.304..1.1.1.5.","0","0","0","2","0","0","0","2","0","2","3","1","0","0","1","1","0"
"X3.alpha.hydroxysteroid.3.dehydrogenase..Si.specific...1.1.1.50.","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"X3.or.17..beta.hydroxysteroid.dehydrogenase..1.1.1.51.","0","0","0","0","0","0","1","0","0","1","0","1","0","0","4","3","0"
