"","PHYLLO09","PHYLLO10","PHYLLO11","PHYLLO12","PHYLLO13","PHYLLO14","PHYLLO15","PHYLLO16","PHYLLO21","PHYLLO22","PHYLLO23","PHYLLO24","PHYLLO25","PHYLLO26","PHYLLO27","PHYLLO28","PHYLLO29"
"Cytochrome.b5.like.Heme.Steroid.binding.domain..PF00173."," 0"," 0"," 1"," 0","27"," 6","12","10","17","17","47"," 4","31","10","14","11"," 0"
"Oxidoreductase.molybdopterin.binding.domain..PF00174."," 0"," 0"," 0"," 0","20"," 0"," 0","22"," 9"," 2","74"," 5","43","42","37","45"," 0"
"Oxidoreductase.NAD.binding.domain..PF00175.","  0","  6","  0"," 14","115"," 25"," 49"," 37"," 60"," 28","228"," 32","165","100"," 60","106","  0"
"SNF2.family.N.terminal.domain..PF00176.","  0","  0","  0","  0","247"," 53"," 47"," 41"," 79"," 40","233"," 24","173"," 94"," 63","122","  0"
"Ribosomal.protein.S7p.S5e..PF00177."," 0"," 0"," 0"," 0"," 3"," 0"," 3"," 3"," 3"," 8","25"," 2","17","12","12","33"," 0"
"Ubiquitin.conjugating.enzyme..PF00179."," 1"," 0"," 3"," 3"," 8"," 1"," 5"," 3","10"," 3","10"," 3"," 9"," 3"," 3"," 1"," 0"
"Isocitrate.isopropylmalate.dehydrogenase..PF00180.","  0","  0","  0","  0"," 32","  0","  7"," 17"," 32"," 12","127"," 22","120"," 71"," 53","144","  0"
"Ribosomal.Proteins.L2..RNA.binding.domain..PF00181."," 0"," 1"," 0"," 0","16"," 5","11","15"," 7","11","40"," 2","31","19","15","39"," 4"
"Chitinase.class.I..PF00182."," 0"," 0"," 0"," 0"," 3"," 0"," 1"," 0"," 0"," 3","18","11"," 3"," 4","11"," 5"," 0"
"Hsp90.protein..PF00183."," 0"," 0"," 0"," 0","29","14","14"," 9"," 6"," 8","80"," 6","53","32","17","45"," 0"
"Aspartate.ornithine.carbamoyltransferase..Asp.Orn.binding.domain..PF00185.","  0","  0","  0","  0"," 34","  0"," 15"," 16"," 20"," 25","110"," 11"," 92"," 49"," 38","101","  0"
"Dihydrofolate.reductase..PF00186."," 0"," 0"," 0"," 0"," 4"," 4"," 1"," 0"," 2"," 1","11"," 0"," 5","12"," 6"," 0"," 0"
"Chitin.recognition.protein..PF00187.","0","1","0","0","0","1","3","1","1","1","2","1","4","4","0","3","0"
"Cysteine.rich.secretory.protein.family..PF00188."," 2"," 0"," 0"," 1","10"," 1"," 8","12"," 3"," 3","17"," 4"," 4"," 6"," 4"," 5"," 1"
"Ribosomal.protein.S3..C.terminal.domain..PF00189."," 0"," 0"," 0"," 0"," 8"," 0"," 3"," 4"," 6","19","42"," 3","31","35","13","36"," 3"
"Cupin..PF00190.","0","0","0","0","4","8","1","2","0","0","8","0","3","6","0","2","0"
"Annexin..PF00191.","0","0","0","1","1","0","1","0","1","2","4","1","1","0","0","0","0"
"Eukaryotic.type.carbonic.anhydrase..PF00194.","0","0","0","0","8","0","2","4","2","1","8","1","3","2","0","1","0"
"Chalcone.and.stilbene.synthases..N.terminal.domain..PF00195."," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 7"," 0"," 0"," 5"," 0","10"," 5"," 2"," 8"," 0"
"Bacterial.regulatory.proteins..luxR.family..PF00196.","  0","  0","  0","  0"," 43"," 40"," 30"," 14"," 21","  0","208"," 31","129","198","145","214","  0"
"X2.oxoacid.dehydrogenases.acyltransferase..catalytic.domain...PF00198.","  0","  0","  0","  0"," 66","  7"," 25"," 36"," 39"," 22","223"," 33","124","124","101","158"," 20"
"Catalase..PF00199.","  0","  0","  0","  0"," 96"," 14"," 29"," 10"," 44"," 31","195"," 25","102"," 76"," 43","100","  2"
"Disintegrin..PF00200.","0","0","0","2","0","0","2","2","0","0","2","0","0","3","1","1","0"
"UDP.glucoronosyl.and.UDP.glucosyl.transferase..PF00201."," 0"," 0"," 0"," 0","11"," 0"," 0"," 5"," 5"," 3","18"," 0","13"," 7"," 0","10"," 0"
"Aminotransferase.class.III..PF00202.","  0","  0","  0","  0","125"," 26"," 39"," 41"," 77"," 47","350"," 44","230","202","126","246"," 11"
"Ribosomal.protein.S19..PF00203."," 0"," 0"," 0"," 0"," 0"," 0"," 3"," 5"," 0"," 0","11"," 2","12"," 9"," 5"," 6"," 0"
"DNA.gyrase.B..PF00204.","  0","  0","  0","  0"," 63","  9"," 30"," 56"," 48"," 22","262"," 29","154","179"," 83","173","  0"
"Thiamine.pyrophosphate.enzyme..central.domain..PF00205.","  0","  0","  0","  0"," 88"," 20"," 36"," 33"," 56"," 20","277"," 51","200","177","158","222","  6"
"Lyase..PF00206.","  0","  0","  0","  1"," 80"," 20"," 39"," 60"," 54"," 46","248"," 47","175","174"," 88","188","  7"
"Alpha.2.macroglobulin.family..PF00207."," 0"," 2"," 0"," 0","15"," 3"," 0"," 7"," 9"," 0","77"," 3","52","44","13","47"," 0"
"Glutamate.Leucine.Phenylalanine.Valine.dehydrogenase..PF00208."," 0"," 0"," 0"," 1","27"," 9","11","30","15"," 6","85","15","71","67","31","63"," 9"
"Sodium.neurotransmitter.symporter.family..PF00209."," 0"," 0"," 0"," 0"," 5"," 1"," 1"," 5"," 9"," 0","11"," 1"," 4"," 7"," 3","10"," 0"
"Ferritin.like.domain..PF00210."," 0"," 0"," 0"," 0","18"," 0"," 7"," 2"," 2"," 3","94","11","48","48","35","57"," 0"
