"","PHYLLO09","PHYLLO10","PHYLLO11","PHYLLO12","PHYLLO13","PHYLLO14","PHYLLO15","PHYLLO16","PHYLLO21","PHYLLO22","PHYLLO23","PHYLLO24","PHYLLO25","PHYLLO26","PHYLLO27","PHYLLO28","PHYLLO29"
"D.amino.acid.oxidase.activity..GO.0003884.","0","0","0","0","1","2","0","0","0","0","1","0","0","0","0","0","2"
"X.D.arabinono.1.4.lactone.oxidase.activity..GO.0003885.."," 0"," 0"," 0"," 0"," 4"," 4"," 4"," 4"," 0"," 0","10"," 3"," 7","16","10"," 4"," 0"
"DNA..cytosine.5...methyltransferase.activity..GO.0003886."," 0"," 0"," 0"," 0"," 8"," 3"," 3"," 2"," 1"," 2","22"," 0","11"," 0","14","21"," 0"
"DNA.directed.DNA.polymerase.activity..GO.0003887.","   0","  20","   0","  20"," 627"," 187"," 247"," 255"," 275"," 206","1106"," 162"," 680"," 594"," 423"," 796","  56"
"DNA.primase.activity..GO.0003896.","  3","  0","  0","  0"," 40","  6"," 31"," 27"," 19"," 21","118"," 19"," 89"," 95"," 51","113","  2"
"DNA.directed.RNA.polymerase.activity..GO.0003899.","  0","  0","  0","  0","222"," 42","120","193","141","200","937","117","571","497","402","648"," 27"
"deoxyribodipyrimidine.photo.lyase.activity..GO.0003904."," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0","10"," 1"," 9","12","17","10"," 0"
"alkylbase.DNA.N.glycosylase.activity..GO.0003905."," 0"," 0"," 0"," 1"," 7"," 0"," 1"," 4"," 2"," 3"," 8"," 0","12"," 8"," 4","14"," 0"
"DNA..apurinic.or.apyrimidinic.site..lyase.activity..GO.0003906."," 0"," 0"," 0"," 0"," 2"," 7"," 7"," 9"," 2"," 5","53"," 3","45","36","22","58"," 0"
"methylated.DNA..protein..cysteine.S.methyltransferase.activity..GO.0003908."," 0"," 0"," 0"," 0"," 4"," 0"," 0"," 0"," 0"," 2","23"," 3","20","21"," 3"," 4"," 0"
"DNA.ligase.activity..GO.0003909.","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","2","0"
"DNA.ligase..ATP..activity..GO.0003910.","  4"," 10","  0","  0"," 20","  0","  0"," 16"," 16","  7","116"," 10"," 69"," 96"," 30","135","  5"
"DNA.ligase..NAD...activity..GO.0003911."," 0"," 0"," 0"," 0","19"," 6","11","38","25","16","87","13","65","65","52","63"," 5"
"DNA.photolyase.activity..GO.0003913."," 0"," 0"," 0"," 2","24"," 1","13","28","28"," 5","83","14","36","56","23","60","10"
"DNA.topoisomerase.activity..GO.0003916."," 0"," 0"," 0"," 4","21"," 1","21"," 7","15"," 5","24"," 4","10"," 7"," 9","19"," 1"
